V1,V2,V3
AJ,58,2
BF,36,2
BW,22,1
AJ,76,2
BO,35,2
AJ,129,0
BO,52,1
X,45,8
BT,54,1
BW,112,0
Q,43,3
K,60,0
L,20,1
AL,72,0
K,3,2
BW,92,0
R,30,12
BW,95,0
AU,27,0
K,11,2
AJ,52,1
BP,6,0
BV,20,3
AJ,52,1
X,45,2
AJ,40,3
K,60,0
BU,36,1
AL,49,0
AJ,35,0
BW,176,0
AR,41,1
D,25,6
Y,34,3
AY,37,5
AC,1,1
W,28,6
AJ,48,1
AU,14,1
AU,58,0
W,4,3
K,34,4
Y,36,0
R,49,1
BU,38,8
X,45,10
AU,40,0
AJ,49,1
AR,41,1
AJ,77,2
P,34,0
K,80,0
BW,126,0
AO,13,1
BW,115,0
BU,22,1
BG,19,0
X,45,10
AJ,52,0
O,10,3
AN,5,2
BV,9,0
AJ,58,2
K,7,3
BO,35,7
W,16,3
AU,11,3
K,12,2
BW,168,1
BO,15,1
K,80,0
K,7,1
AJ,17,1
BV,8,3
AQ,17,1
AU,58,0
K,7,3
K,7,7
AJ,29,1
K,7,5
BW,3,0
AJ,58,2
AU,73,0
AU,14,0
AJ,123,1
BH,20,9
Y,34,0
Y,10,0
BH,22,2
K,7,6
AN,11,3
AU,11,3
AZ,1,1
AJ,49,1
AN,11,3
BO,47,1
AU,11,3
BF,36,5
K,65,3
K,7,5
AU,26,0
AJ,129,3
P,24,0
AJ,48,1
I,16,2
X,40,0
AR,11,2
G,10,1
AO,7,6
BW,164,1
R,23,0
BP,8,0
K,7,3
AU,14,0
AU,68,0
AX,4,1
BP,17,0
D,6,2
AO,1,21
AO,1,15
X,19,2
AJ,38,1
AN,2,1
Y,32,1
BU,36,3
AQ,17,1
BW,156,0
BO,52,1
X,38,5
BH,16,1
K,3,2
K,7,3
L,26,1
BO,36,3
BW,3,0
AO,7,1
X,45,11
Q,40,0
X,38,0
AQ,17,1
K,34,4
AO,1,10
AJ,35,0
K,2,4
K,82,0
K,3,4
BW,27,1
Y,34,0
M,18,1
Y,9,3
K,35,0
K,57,1
AN,2,1
AU,54,2
AY,64,0
AO,12,2
BH,20,4
BW,126,0
Y,42,1
BU,35,3
AJ,52,1
AJ,29,3
K,7,3
AJ,54,1
X,45,2
K,81,1
M,16,1
Y,4,0
AJ,29,3
N,8,0
AO,6,2
AJ,29,3
AJ,52,0
K,7,1
AU,40,0
AJ,122,3
L,6,0
Y,34,0
L,49,1
BO,3,1
K,39,0
X,12,1
K,7,1
AJ,35,0
BW,95,0
X,9,2
BT,29,0
AJ,40,0
BH,7,2
L,29,0
BW,157,1
AU,54,1
X,45,4
K,7,3
K,2,2
BW,95,0
AX,4,0
AN,16,4
Y,10,0
BW,96,0
W,4,4
M,18,1
BW,157,1
BW,176,0
BO,88,0
W,16,3
AQ,17,1
K,7,3
P,24,0
BO,38,2
K,3,4
AO,33,2
M,16,1
Y,29,2
AL,14,0
BT,29,0
W,16,3
X,40,0
BO,52,1
X,52,1
L,29,1
X,45,10
BW,3,0
AU,14,0
M,16,2
Y,36,0
AJ,40,3
BW,17,1
K,35,4
Y,10,1
AI,13,0
X,3,1
AJ,123,3
D,20,0
AU,11,3
W,20,3
BF,36,5
BO,44,2
BF,42,0
BO,38,1
AU,14,1
AJ,9,1
Y,32,0
AH,7,0
AJ,35,2
K,65,3
BW,166,0
BP,15,0
K,82,0
M,16,2
BW,157,1
BP,17,0
Z,38,0
AL,24,0
BV,24,2
BW,3,0
AL,6,0
P,24,0
M,16,2
AJ,123,3
AU,11,1
BO,100,1
AU,11,3
L,26,1
BT,49,1
K,7,7
BV,3,3
BV,17,4
BV,33,0
Y,4,0
BW,43,0
N,7,0
K,7,0
AU,40,0
X,24,3
AJ,40,2
W,28,4
K,3,5
AJ,14,1
AR,1,2
W,28,7
AJ,40,2
AJ,64,2
M,19,2
K,7,0
X,45,8
BW,81,1
AJ,35,2
BW,160,1
Y,29,2
BW,81,1
BO,36,0
BO,36,0
Z,5,0
AR,1,2
N,7,0
Y,21,2
K,13,4
X,3,6
K,7,0
D,25,9
AJ,58,2
BW,36,2
BB,6,3
X,25,1
BO,38,2
BO,35,2
AH,68,0
AJ,122,3
X,45,9
BP,6,0
Y,4,0
Y,42,2
K,65,3
AQ,17,1
BP,17,0
Y,42,1
AU,54,0
BH,18,5
K,2,2
N,25,0
BW,112,0
AR,16,0
BF,42,0
K,75,0
Y,10,0
W,4,2
Y,42,1
AJ,58,2
BW,164,1
K,7,5
BO,47,1
K,7,1
AO,7,6
AQ,17,1
W,16,5
AU,11,2
Y,21,2
AU,14,0
BW,92,0
Q,43,0
BO,38,2
BU,38,8
BO,38,2
K,7,0
BH,20,4
X,24,3
AJ,122,3
Y,29,0
AO,7,13
AQ,17,1
R,15,2
L,49,0
BW,48,1
K,82,0
BH,7,1
X,38,7
AH,75,1
BW,22,1
W,28,7
K,13,6
BU,35,3
AJ,58,1
X,45,2
Y,4,0
X,24,3
BW,115,0
K,17,0
AJ,123,3
D,25,6
BV,8,1
AJ,35,1
Y,32,0
I,3,1
R,17,3
K,82,2
AJ,129,0
AJ,35,0
AU,40,0
BT,43,3
AU,14,0
K,81,2
X,45,2
K,10,3
X,9,2
AJ,58,2
L,49,0
R,23,7
AU,11,2
R,23,7
BV,20,4
BH,18,10
AU,68,0
J,7,1
BF,36,3
Y,34,1
L,29,3
X,38,0
X,9,2
Y,29,2
AO,7,6
AO,7,6
K,7,4
Y,29,2
L,26,1
AJ,14,3
W,16,5
AJ,40,0
AJ,129,1
AY,30,3
BW,95,0
K,13,2
AH,8,1
AR,5,1
O,10,1
AR,16,0
AH,168,0
BW,126,0
AV,1,0
N,7,0
K,81,0
BO,35,0
K,7,6
AU,14,1
W,16,3
BW,115,0
AJ,129,3
BF,36,5
AN,11,2
AV,9,2
AU,40,0
AR,41,1
AL,6,0
AJ,38,1
AU,58,0
K,7,3
K,7,3
K,51,0
AH,106,0
Y,9,1
K,7,1
Q,36,1
AR,25,0
X,9,4
AJ,129,0
W,20,3
K,7,2
BG,9,0
BW,176,0
X,45,10
BZ,16,1
AJ,58,2
BO,36,2
O,19,0
BO,38,1
BW,95,0
W,3,0
BV,8,1
BW,54,0
BW,57,0
AJ,129,1
AO,6,2
BO,53,1
K,7,5
R,18,0
AU,58,0
K,7,4
AO,29,1
W,4,6
R,30,12
K,3,2
AH,6,1
K,3,2
K,80,1
I,29,1
Z,38,0
AJ,14,3
O,10,2
M,16,2
W,16,3
I,29,0
AU,58,0
AU,14,1
X,49,6
BW,3,0
BH,18,5
AY,30,1
AU,11,2
W,4,4
AL,14,0
Y,10,2
AJ,29,2
BW,49,0
AC,2,1
I,14,4
BW,95,0
BG,4,0
K,2,1
BW,96,0
AH,168,0
AU,14,0
AJ,129,0
AO,7,13
AU,69,0
AJ,40,1
BO,36,0
AU,27,0
AL,72,0
W,3,4
Y,32,0
AU,11,3
R,22,4
AU,14,1
BW,157,1
W,28,7
AU,58,0
L,28,4
AO,7,7
BO,35,0
M,13,1
BO,67,1
AR,14,1
AJ,42,0
I,29,1
BV,9,0
I,15,1
BO,47,1
Y,34,1
BO,47,1
K,10,1
K,62,1
BP,24,0
AJ,40,2
Q,22,4
AJ,52,1
K,35,4
BV,33,0
K,24,1
X,24,9
Y,29,0
AO,7,6
X,9,4
BW,156,0
K,86,3
BW,160,1
AJ,40,2
BF,39,2
K,7,3
BO,38,1
AJ,35,0
AJ,123,3
K,51,0
K,65,5
L,51,2
AO,7,6
BW,176,0
Y,34,0
X,38,0
AZ,35,0
AJ,49,1
BW,167,0
BO,44,1
BZ,36,1
BW,5,1
BW,107,0
AJ,17,1
D,25,6
K,7,1
BH,29,4
AJ,121,1
N,25,0
AL,24,0
BW,176,0
AU,14,1
BY,4,0
AO,7,13
AO,7,6
AU,11,3
M,16,2
AX,4,1
N,25,0
AO,7,6
P,2,0
BW,64,1
AQ,32,0
BW,166,0
BW,115,0
AL,6,0
BT,69,4
K,7,0
BO,47,1
BW,69,2
BW,48,1
K,7,5
BH,7,2
BW,13,1
BV,24,2
K,3,2
X,45,10
AJ,52,0
K,7,5
AQ,40,1
AO,1,1
AI,13,0
D,25,3
Y,32,1
AU,58,0
BH,29,3
Y,10,0
BW,132,0
D,20,0
AQ,20,0
AU,14,1
AU,14,1
AJ,64,1
W,16,3
X,24,8
K,81,0
BW,95,0
L,28,2
AX,4,1
K,96,2
K,65,3
AR,41,1
AO,7,6
BT,11,0
BW,167,0
BW,3,0
AJ,40,2
AL,46,0
K,10,2
BW,176,0
Y,10,2
AH,164,1
AH,118,0
BW,3,0
AQ,17,2
BR,3,1
W,20,3
BW,107,0
AJ,7,1
Y,29,0
BV,20,4
AO,7,6
K,7,4
BV,8,1
BW,49,1
AH,69,0
Q,3,3
W,16,5
K,60,0
L,49,1
AH,106,0
AH,164,0
P,13,0
AU,35,0
W,16,5
J,10,3
K,82,1
K,7,3
Z,38,0
AL,72,0
AQ,32,0
BO,38,5
BW,3,0
K,7,3
AJ,52,1
AO,7,8
Y,32,0
BH,29,6
W,20,3
BU,38,5
BO,39,3
AJ,9,1
D,6,2
Y,42,2
BH,18,2
AH,8,1
K,61,0
W,4,4
AR,41,1
AL,42,0
BW,3,0
AU,54,2
BH,18,5
D,25,6
BF,36,7
AU,58,0
AL,69,0
AU,58,0
K,92,3
AU,49,0
X,45,4
Y,4,0
K,2,0
AJ,17,1
K,10,1
AN,12,0
AR,35,0
AJ,52,1
AH,50,0
BO,38,3
BU,36,2
BU,36,2
Z,38,0
Y,10,0
BZ,27,1
K,50,1
AU,11,2
X,38,5
AH,8,1
Y,4,0
AJ,52,0
W,28,2
P,35,0
AJ,38,1
P,18,0
BW,156,0
AH,125,0
AU,54,2
BH,30,1
BW,95,0
X,45,9
BF,35,1
AJ,129,3
AJ,129,3
Q,22,3
W,16,3
AU,58,0
AR,18,0
BV,8,1
AJ,42,0
BO,44,2
AO,33,2
AX,6,0
BW,3,0
BO,38,3
BV,17,1
K,86,3
BW,3,0
M,16,2
AL,16,0
W,16,4
AN,2,1
BH,18,5
AZ,21,1
K,3,4
Y,21,2
W,16,5
BO,44,1
X,45,2
AJ,35,0
AJ,58,2
AJ,76,1
BV,33,0
W,16,3
AQ,17,2
L,14,3
K,7,5
AR,1,1
X,9,4
X,3,6
X,45,11
BW,49,0
AJ,52,0
X,24,8
X,45,8
W,5,0
AH,101,0
K,7,7
W,14,0
BH,18,5
AO,7,13
BW,167,0
AV,10,0
AJ,40,0
BU,38,8
AJ,40,3
AJ,77,2
K,7,5
Y,29,2
Y,10,0
K,80,2
Y,34,0
BW,95,0
N,25,0
AO,7,6
Y,9,0
BO,65,1
BW,95,0
Y,9,0
BU,38,4
Y,34,0
BP,9,1
AL,72,0
K,7,6
AJ,52,0
AJ,52,0
L,29,1
K,81,0
BW,167,0
AJ,40,0
BH,18,7
BO,47,1
BZ,14,1
AJ,35,1
Y,32,0
BY,6,2
M,18,2
BW,115,0
AH,19,1
AU,11,3
L,26,1
L,56,0
X,45,2
BW,115,0
Y,34,0
BO,52,1
AJ,48,1
AJ,14,3
AO,7,6
K,7,1
BW,95,0
BW,42,0
Y,32,0
BW,58,0
AO,1,19
BT,43,5
BW,3,0
AH,168,1
AU,11,2
K,40,3
N,25,0
BO,38,6
W,16,3
Y,34,0
AU,11,3
K,39,0
BP,6,0
AJ,9,1
X,38,0
AH,107,0
BH,18,5
BW,95,0
AU,77,0
BW,178,0
X,38,0
R,23,0
L,29,1
BV,17,3
Y,29,2
AR,14,2
AU,77,0
BW,17,1
AJ,35,1
I,16,0
AU,14,1
BO,38,1
W,16,3
AU,25,0
K,11,2
AU,14,0
K,7,0
AJ,129,1
L,29,1
BO,66,1
Y,29,0
I,3,4
Q,22,3
K,86,3
W,4,3
X,45,8
AU,54,1
BY,13,0
BW,43,0
BW,167,0
R,30,16
BO,15,1
X,24,8
K,7,4
BF,36,7
BW,156,0
BU,38,5
L,14,0
AL,14,0
Q,43,0
BO,52,1
BW,115,0
AJ,9,1
W,16,3
K,7,3
AJ,123,1
AJ,89,2
AU,11,3
J,10,4
AJ,29,2
K,7,7
AU,14,0
J,7,0
AO,1,3
AO,1,15
BH,18,1
BV,24,2
BW,96,0
BW,3,0
BV,6,1
N,8,0
M,11,0
X,45,8
Q,3,3
X,24,1
BP,6,0
K,40,3
X,52,1
K,7,0
BH,20,4
P,45,0
BV,20,4
AU,11,3
AJ,129,1
AL,88,0
AH,106,0
BT,11,0
K,7,1
AJ,14,1
AR,16,0
X,38,5
Y,32,2
AI,2,0
Y,10,0
AJ,122,3
I,15,4
W,28,5
K,7,3
BW,156,0
BW,157,1
BW,112,0
BT,63,8
BW,115,0
J,6,1
AY,23,3
BO,35,0
AF,23,0
AZ,26,2
AO,7,6
W,28,8
Q,22,4
Y,4,0
AU,54,2
BW,167,0
K,10,3
BF,42,0
K,10,3
AO,1,8
BT,43,5
M,13,0
AN,11,3
Y,9,0
BW,112,0
K,51,1
K,65,5
AU,77,0
BW,167,0
BW,69,2
K,7,1
X,12,4
BW,157,1
K,62,3
Y,32,1
X,24,1
X,38,5
BW,164,1
BW,115,0
AN,11,0
AR,5,1
AJ,38,0
K,7,3
K,13,4
BG,19,1
M,16,0
K,82,0
AU,27,0
AO,7,1
J,4,1
Y,32,0
K,70,1
AO,1,3
W,4,4
Q,22,4
BV,17,2
R,32,14
BT,72,2
BW,132,0
BW,3,0
K,7,3
BO,36,0
R,30,12
AU,40,0
AU,14,0
BO,44,1
AJ,64,1
D,25,6
BO,47,1
BH,18,7
BV,8,1
AU,49,0
Q,22,4
P,30,0
AJ,35,1
K,93,2
AJ,14,1
AU,14,0
BY,10,0
BV,8,1
Q,43,3
J,6,0
K,40,3
AU,2,6
BW,115,0
AO,1,17
BV,24,4
BO,69,2
D,6,2
Z,1,0
K,92,3
AU,1,0
BU,5,1
AH,69,0
AJ,40,0
BZ,16,1
K,80,0
Q,22,3
D,20,0
AJ,59,2
AJ,129,0
W,20,1
K,62,3
AU,40,0
AU,11,2
BW,129,0
E,17,0
BH,18,6
BD,3,0
BV,20,2
AV,1,2
Y,9,0
AJ,58,3
W,16,3
AV,10,1
X,38,0
BG,9,0
AR,35,0
AJ,9,1
K,86,3
AO,7,6
X,38,0
X,38,0
BW,48,0
AJ,58,3
AJ,40,2
BV,24,2
AO,7,6
BW,40,1
R,30,12
K,7,0
BO,35,0
AU,58,0
D,2,1
BW,69,2
K,7,3
X,38,0
Y,42,1
AJ,129,3
Q,22,3
AJ,123,3
Q,43,3
AJ,129,0
D,25,6
Y,42,2
BW,132,0
X,40,0
M,16,2
AU,11,3
BO,44,2
K,7,1
M,16,0
BW,43,0
K,65,3
K,11,2
BF,39,2
AH,168,0
BH,30,4
K,7,3
M,18,1
K,63,1
W,16,3
BW,3,0
K,65,5
N,8,0
AZ,26,1
Y,29,0
BW,154,0
Y,29,0
AJ,48,1
W,16,3
BO,38,2
AJ,49,1
BO,36,0
K,10,3
AR,16,0
AJ,15,1
K,80,0
K,81,1
BF,36,0
BO,60,1
X,3,6
X,45,10
AR,41,1
K,65,3
J,6,0
Y,9,1
Y,40,1
AU,77,0
P,45,0
BF,36,4
L,26,1
AY,37,4
K,3,1
L,26,1
BU,38,4
AJ,58,2
K,7,1
R,23,9
X,45,4
BV,20,4
AH,100,0
AU,14,0
AL,14,0
AJ,122,3
BU,38,4
W,16,5
M,13,1
AO,25,2
BU,29,1
X,45,8
Y,32,1
K,65,6
BO,36,0
K,51,1
K,13,8
AO,12,2
AJ,129,0
W,3,4
BW,42,0
K,74,1
BZ,9,0
R,23,0
BO,53,1
K,3,2
M,16,2
BW,167,0
W,28,0
AU,58,0
Q,22,3
K,33,0
AU,14,1
AJ,58,2
AU,14,1
BW,176,0
K,50,0
M,18,1
BW,96,0
AU,14,0
AU,11,3
K,7,0
K,7,3
BW,156,0
Q,36,3
K,7,0
K,7,5
AU,40,0
BW,164,1
BV,8,1
X,24,3
BW,3,0
AJ,123,2
K,2,4
Y,42,2
AJ,85,1
AU,41,0
L,49,1
K,47,1
X,24,3
BH,10,1
AJ,129,1
X,45,2
D,25,6
AO,7,13
AV,1,0
X,45,8
AU,58,0
BP,6,0
L,26,1
AO,7,8
I,18,0
AJ,49,1
BW,157,1
AJ,52,1
M,16,1
K,7,0
K,62,3
BT,72,2
BU,38,4
AZ,39,4
BO,38,5
BF,42,0
BO,38,4
AC,3,2
BF,36,7
BO,38,3
AJ,35,0
AY,24,2
BO,38,2
AH,28,1
P,2,0
Y,4,0
W,16,3
BH,20,4
K,65,5
K,7,3
K,7,3
BV,20,4
AX,4,1
X,45,8
L,20,1
K,39,0
Q,43,3
K,7,3
Y,29,2
BO,53,1
AO,7,6
BO,38,1
AQ,17,1
AH,8,1
AQ,20,0
AL,24,0
K,93,2
K,28,0
AJ,52,0
AL,76,0
AR,35,0
AU,58,0
AO,1,8
BW,164,1
AJ,48,1
X,45,2
BO,36,0
AQ,39,2
D,6,2
AI,20,0
AH,168,0
BW,49,1
AJ,35,1
M,16,2
AX,4,0
BO,32,5
BO,35,7
D,6,2
BT,54,1
BT,50,1
L,14,0
X,24,9
BW,92,0
K,31,0
AU,14,2
R,23,7
D,25,6
Y,22,0
AU,11,3
L,49,0
K,65,5
Y,9,0
O,10,3
AJ,17,1
AL,24,0
AH,83,0
AO,7,6
BV,24,2
R,30,12
X,3,3
K,74,1
BV,8,1
AH,168,0
BW,168,1
L,49,1
K,7,3
W,28,5
K,7,1
M,13,2
BT,69,4
BW,36,1
K,80,0
Y,29,2
K,51,0
W,16,6
R,15,2
AI,2,0
AL,14,0
R,30,12
BW,176,0
AI,17,0
AJ,58,1
W,16,3
AW,1,0
L,20,1
AJ,129,1
AU,77,0
AH,101,0
M,16,2
L,29,3
L,29,1
AO,7,6
BZ,27,1
K,81,2
BW,157,1
N,25,0
BO,47,1
L,14,0
X,38,0
K,7,1
BH,18,5
BW,48,0
W,28,7
X,45,2
K,7,3
AH,83,0
BU,38,5
BW,3,0
Y,10,0
AH,67,0
BT,69,4
W,28,5
AJ,14,3
AJ,129,0
K,7,1
AJ,42,0
X,25,1
AJ,85,1
BW,157,1
BP,15,0
K,82,2
N,7,0
K,7,1
K,7,0
AU,49,0
K,60,0
X,45,10
AO,7,1
X,24,10
AJ,40,3
BF,39,0
BW,157,1
K,7,1
K,7,3
K,7,0
X,38,7
W,16,3
BO,47,1
AZ,21,2
K,7,5
Y,9,1
AJ,77,1
AJ,121,1
BW,92,0
K,3,1
K,80,0
BW,112,0
K,7,0
AQ,32,0
AU,40,0
AQ,17,1
AO,1,8
W,28,7
AO,7,6
BW,160,1
AH,75,1
K,13,2
R,30,2
W,28,3
K,7,0
X,45,3
K,7,5
X,25,1
AJ,58,2
BO,38,3
K,11,2
AU,58,0
AJ,58,2
K,61,0
BW,115,0
X,45,2
BV,8,3
BT,63,5
R,23,0
BW,176,0
R,30,7
K,7,3
W,28,4
AJ,58,2
K,80,0
BT,4,0
AU,14,0
K,69,2
X,45,8
X,45,10
AO,33,2
AO,33,2
X,3,5
X,45,10
X,38,0
AU,40,0
AL,14,0
AJ,52,0
AJ,52,0
W,16,3
BH,18,5
AH,70,0
M,16,1
K,7,3
Y,32,1
O,10,2
K,7,0
AJ,129,0
BO,15,1
BV,4,2
R,23,7
K,7,3
BO,47,1
AJ,40,0
AU,54,4
AJ,35,1
AJ,48,1
X,45,9
AO,7,6
AU,58,0
M,16,2
BZ,11,1
X,24,3
K,7,3
Q,3,3
M,18,2
L,29,1
BW,81,1
NA,NA,NA
AO,20,2
AJ,112,5
W,28,7
AJ,77,2
L,57,0
AX,1,1
AH,69,0
BO,53,1
BO,52,1
W,20,1
AU,40,0
Y,29,2
AH,19,1
Y,29,2
W,16,1
BW,131,0
AX,4,1
AI,20,0
BV,33,0
AU,11,3
AO,1,19
K,61,0
AJ,122,3
BV,24,4
AJ,129,3
L,26,1
AX,4,1
BW,40,1
X,38,7
BW,3,0
BO,38,4
BP,24,0
BP,24,0
M,16,1
AN,7,3
X,45,4
AJ,49,1
BW,92,0
Y,4,0
K,39,0
BW,126,0
AO,7,1
AJ,52,0
AJ,58,3
AX,1,1
K,65,3
K,7,5
AR,36,0
K,74,0
AR,16,0
BZ,14,1
AO,13,1
BO,38,3
AJ,40,2
BO,38,2
AJ,49,1
K,7,1
K,40,3
I,29,2
AH,7,0
W,16,3
D,25,10
X,38,5
K,7,3
L,29,1
AH,68,0
K,3,4
L,26,1
K,7,5
D,25,6
AJ,49,1
BO,15,1
BW,167,0
AJ,76,2
Y,29,0
Y,29,2
K,13,4
AJ,52,0
W,20,3
AF,24,1
AU,54,0
K,10,2
AJ,52,0
W,4,5
AL,45,0
AH,68,0
AH,43,0
BW,166,0
AJ,52,0
BW,95,0
AO,1,8
I,15,4
X,38,7
AU,11,3
K,7,3
P,24,0
K,7,5
BH,7,1
Q,43,3
K,61,0
BO,36,0
K,51,1
AO,7,6
AU,11,3
BV,24,4
BY,13,1
AO,7,7
AJ,48,1
BW,96,0
L,28,5
Y,29,0
Y,9,0
AJ,7,1
K,7,0
BT,43,3
AQ,4,4
NA,NA,NA
AU,11,3
D,25,9
BW,112,0
AU,11,3
L,14,0
BY,4,2
K,7,3
AN,2,1
X,45,10
AJ,58,2
BY,12,1
M,16,2
W,16,3
L,29,1
L,49,1
L,49,0
AJ,76,1
AJ,14,3
AJ,5,1
AJ,48,1
BO,38,2
Y,29,0
AO,1,3
BO,38,5
AU,11,3
AU,58,0
Y,34,0
BZ,36,1
AQ,17,1
AH,6,1
AJ,122,3
Z,38,0
Q,22,4
AO,7,6
AO,1,15
K,3,1
BU,29,1
BW,79,2
BW,157,1
AU,14,1
BW,115,0
K,7,3
BW,132,0
